"Key","Value"
"1a554974-b31d-4b5a-943a-5d8f82ff6604","ELS Department Ceramics & Catalysts Development"
"c0eb1092-fa64-4624-918d-659569871444","ELS DEP Purchasing"
"504ebe28-3d9d-4b67-917b-fff730197abd","TEST PER TESTDRIVE2_FOLDER_Subfolder RW"
"6ae4ab2b-bfd3-4e63-8600-5146479ce4ca","ELS PER ORGANISATION_Qualit?tsundUmwelt_Idea R"
"6f9243ea-a0ca-446f-954d-81a465d2a6e7","ELS Department ProductLine"
"e9a0f856-45e6-4e33-806d-cae97adaad42","ELS OLD Gesch?ftsleitung"
"1ae9c352-6b54-454a-a682-3d17ac72f235","ELS SP_Abteilungs-Seiten_Technik R"
"74fe0f21-46a5-4b7c-a266-fbaae57f1ef8","ELS FunctionDepartment Project Management"
"834abe59-e9eb-4c71-b709-5872981943b4","ENS Share Stationary R"
"355c7869-925c-46d3-bfb2-224b3b6ce0e7","ELS PER VERKAUF_001_ADMINISTRATION R"
"753409aa-e90a-4759-bb77-209387b75be7","ELS PER ORGANISATION_IT_Docs RW"
"760ed798-1745-441f-9d1d-bfc5f8ddcda7","ELS PER APPLICATION_TIM_FCTTIMPUBLIC R"
"c5e873b1-e991-4a01-91b8-6ed99c2ad378","ELS PER TECHNIK_RnD_Budget RW"
"6b02216d-88e6-4ce8-be6b-894aa9747d12","ELS Apprentice Quality Management & Audits"
"eb298af1-d8b8-431a-8d3d-f252d94f36c0","ENS Domain Users"
"7b5bb3a8-6775-466d-9a52-c4b9d15d7368","ELS PER VERKAUF_002_VORLAGEN RW"
"f97d462b-30eb-4a38-8c94-086a94b87d8e","ELS Function Director ProductLine MarineMobile"
"9025435b-c0b9-4c65-add8-10325c9065c9","ELS PER ORGANISATION_Einkauf_06ProcessesABACUSTrainings R"
"b2ceb201-984b-49e9-97bf-c7d6f77270dc","ELS PER VERKAUF_006_MARKTFORSCHUNG und VERTR?GE R"
"9d2df200-ac66-4d96-8557-290fa4fb5716","ELS Department Service"
"5b6f9693-337f-4e4f-a4a0-6c75cb256631","ELS PER ORGANISATION_Personal_DigitalSignature R"
"957e1816-4374-4e56-909a-375c45f0ac74","ELS PER ORGANISATION_PMMarketing R"
"16312101-e3ed-47a3-bc64-97ff0ac59253","ELS PER APPLICATION_ExpoVit R"
"8a9b9237-eda9-4faf-af91-4a3135909aa9","ENS PER DEPT_Management_100HUG Engineering B.V R"
"f77e6f4b-ff9d-429e-9fa5-e71003c68ad3","ELS Department Technical Service & Maintenance"
