"id","categoryPath","displayName"
"38251ef7-ecb4-4889-8afd-64d2e2b242d6","\Microsoft Edge","Do not set window.opener for links targeting _blank"
"647d0df3-303e-4c3f-b845-ca1e8266e395","\Google\Google Chrome","Allow download restrictions"
"1d199705-2e02-40fb-a51d-9c72e7bcca9a","\Microsoft PowerPoint 2016\PowerPoint Options\Advanced","Maximum number of undos"
"2b6ece25-e331-4bbc-8c6f-ba4e4f5a200c","\Google\Google Chrome\Printing","Default background graphics printing mode"
"ce4a868c-9db9-4f80-a49d-dd7e32153180","\Microsoft Office 2016\Language Preferences\Editing Languages\Enabled Editing Languages","Serbian (Cyrillic, Serbia)"
"5271c20f-66a8-4124-8550-5047a6777a2d","\Microsoft Office 2016\Language Preferences\Editing Languages\Enabled Editing Languages","French (Senegal)"
"6247d1db-101d-4305-b620-7ef62c2f7353","\Microsoft Edge\Content settings","Allow insecure content on specified sites"
"b3f71336-9d9f-4d23-972c-b86a8f844340","\Microsoft Visio 2016\Visio Options\Security\Trust Center","Disable all application add-ins"
"246d62e1-6ff5-4fe7-abcf-8892c09310a1","\Microsoft Edge","Explicitly allowed network ports"
"93b94647-aabf-449d-a23c-0b233a9ed7b6","\Google\Google Chrome\Content settings","Default popups setting"
"28f5f425-2709-4ca6-9e9f-4fc165ed913c","\Microsoft Edge","Configure tracking prevention exceptions for specific sites"
"e4c47746-1895-4676-85bb-d6b6f3a4a39d","\Microsoft Project 2016\Project Options\Security\Trust Center","Trusted Location #6"
"490df4f4-ac4c-4ed4-b57b-fb23b4cf5df3","\Microsoft Edge","Require that the Enterprise Mode Site List is available before tab navigation"
"04025bc4-ed2a-4dfb-8c5f-7b37cea0923c","\Microsoft Edge","Allow importing of saved passwords"
"4d8f0c21-8f02-4349-86e2-b66eeaef6793","\Microsoft Outlook 2016\Outlook Options\Preferences\E-mail Options\Advanced E-mail Options\Desktop Alert","Specify duration of Desktop Alert before fade (in milliseconds)"
"9833d3c0-5f6d-47df-8048-126cedff54f0","\Microsoft Edge","Forces Microsoft Edge to use its built-in WNS push client to connect to the Windows Push Notification Service."
"316d57e1-08b5-4db7-9655-eb186e4b9334","\Google\Google Chrome","Show cards on the New Tab Page"
"825fe945-76b1-4972-9eb7-e8458ccb25a3","\Microsoft Office 2016\Security Settings","Suppress hyperlink warnings"
"61c39dd4-43ce-4e04-aca0-93fd189d0270","\Microsoft Edge","Allows enabling throttling of non-visible, cross-origin iframes"
"0a307be3-3514-43ea-9b64-ceb920c27e6c","\Microsoft Office 2016\Miscellaneous","Disable the Office Start screen for all Office applications"
"9a744c46-d4fa-49aa-acf5-c674b79719b2","\Microsoft PowerPoint 2016\PowerPoint Options\Security\Trust Center","Trust access to Visual Basic Project"
"1a2402d6-7b3b-498d-98b2-835841fe5259","\Microsoft Edge","Allow screen capture without prior user gesture"
"6bbd87b7-5dec-4b30-9f70-ac363763c267","\Google\Google Chrome","Set user data directory"
"c3ab53ed-d1c6-495a-8b57-cdb4e9ed6b1e","\Microsoft Edge","Set the time interval for relaunch"
"e5ced11e-d60b-4bb7-afa8-19e901a3d24e","\Microsoft Edge - Default Settings (users can override)","Block smart actions for a list of services"
"1eeb60da-9735-4423-a30d-65f9537b1baf","\Microsoft Project 2016\Project Options\Save\Tools | Local Project Cache","Local Project Cache Size Limit in MB"
"91fbeb40-7617-4880-88a8-069548545db6","\Google\Google Chrome\Content settings","Automatically grant permission to sites to connect all serial ports."
"c2a8af50-ce91-4ee2-bf5c-845de2bdd088","\Microsoft Edge","Disable download file type extension-based warnings for specified file types on domains"
"a3b20b2d-fade-44db-a0aa-b6bd89ab5a4e","\Microsoft Access 2016\Application Settings\Security\Trust Center","Block macros from running in Office files from the internet"
"946c9295-2657-4195-bc06-974704b59165","\Microsoft Word 2016\Word Options\Advanced","Prompt before saving Normal template"
"d98ffb55-d9b4-4fd4-8bce-7b94d5dcea16","\Microsoft Edge\SmartScreen settings","Enable Microsoft Defender SmartScreen DNS requests"
